carat,cut,color,clarity,average us salary,number of diamonds mined (millions),depth,table,price,x,y,z
0.23,Ideal,E,SI2,31282,5.01,61.5,55.0,326.0,3.95,3.98,2.43
0.21,Premium,E,SI1,40049,1.69,59.8,61.0,326.0,3.89,3.84,2.31
0.23,Good,E,VS1,33517,3.85,56.9,65.0,327.0,4.05,4.07,2.31
0.29,Premium,I,VS2,38495,3.49,62.4,58.0,334.0,4.2,4.23,2.63
0.31,Good,J,SI2,34178,4.7,63.3,58.0,335.0,4.34,4.35,2.75
0.24,Very Good,J,VVS2,44700,0.86,62.8,57.0,336.0,3.94,3.96,2.48
0.24,Very Good,I,VVS1,42939,1.68,62.3,57.0,336.0,3.95,3.98,2.47
0.7,Ideal,H,SI1,37587,4.62,61.8,57.0,2401.0,4.07,4.11,2.53
0.22,Fair,E,VS2,30454,4.02,65.1,61.0,337.0,3.87,3.78,2.49
0.23,Very Good,H,VS1,45506,1.2,59.4,61.0,338.0,4.0,4.05,2.39
0.3,Good,J,SI1,38031,2.63,64.0,55.0,339.0,4.25,4.28,2.73
0.23,Ideal,J,VS1,44410,2.39,62.8,56.0,340.0,3.93,3.9,2.46
0.22,Premium,F,SI1,43752,3.95,60.4,61.0,342.0,3.88,3.84,2.33
0.31,Ideal,J,SI2,32689,3.78,62.2,54.0,344.0,4.35,4.37,2.71
0.2,Premium,E,SI2,43985,5.11,60.2,62.0,345.0,3.79,3.75,2.27
0.32,Premium,E,I1,30331,3.58,60.9,58.0,345.0,4.38,4.42,2.68
0.3,Ideal,I,SI2,38324,2.03,62.0,54.0,348.0,4.31,4.34,2.68
0.3,Good,J,SI1,47341,2.48,63.4,54.0,351.0,4.23,4.29,2.7
0.3,Good,J,SI1,47582,1.05,63.8,56.0,351.0,4.23,4.26,2.71
0.3,Very Good,J,SI1,37375,4.96,62.7,59.0,351.0,4.21,4.27,2.66
0.3,Good,I,SI2,37510,2.86,63.3,56.0,351.0,4.26,4.3,2.71
0.23,Very Good,E,VS2,36157,1.27,63.8,55.0,352.0,3.85,3.92,2.48
0.23,Very Good,H,VS1,47155,4.92,61.0,57.0,353.0,3.94,3.96,2.41
0.31,Very Good,J,SI1,32821,4.29,59.4,62.0,353.0,4.39,4.43,2.62
0.31,Very Good,J,SI1,39073,4.1,58.1,62.0,353.0,4.44,4.47,2.59
0.23,Very Good,G,VVS2,46265,1.88,60.4,58.0,354.0,3.97,4.01,2.41
0.24,Premium,I,VS1,34355,2.29,62.5,57.0,355.0,3.97,3.94,2.47
0.3,Very Good,J,VS2,35475,2.65,62.2,57.0,357.0,4.28,4.3,2.67
0.23,Very Good,D,VS2,48418,3.9,60.5,61.0,357.0,3.96,3.97,2.4
0.23,Very Good,F,VS1,36279,4.46,60.9,57.0,357.0,3.96,3.99,2.42
0.23,Very Good,F,VS1,46901,5.17,60.0,57.0,402.0,4.0,4.03,2.41
0.23,Very Good,F,VS1,43609,0.66,59.8,57.0,402.0,4.04,4.06,2.42
0.23,Very Good,E,VS1,42739,0.74,60.7,59.0,402.0,3.97,4.01,2.42
0.23,Very Good,E,VS1,35942,1.75,59.5,58.0,402.0,4.01,4.06,2.4
0.23,Very Good,D,VS1,34453,1.3,61.9,58.0,402.0,3.92,3.96,2.44
0.23,Good,F,VS1,45958,5.15,58.2,59.0,402.0,4.06,4.08,2.37
0.23,Good,E,VS1,37501,0.91,64.1,59.0,402.0,3.83,3.85,2.46
0.31,Good,H,SI1,30094,1.48,64.0,54.0,402.0,4.29,4.31,2.75
0.26,Very Good,D,VS2,37881,3.66,60.8,59.0,403.0,4.13,4.16,2.52
0.33,Ideal,I,SI2,33556,2.65,61.8,55.0,403.0,4.49,4.51,2.78
0.33,Ideal,I,SI2,40796,1.48,61.2,56.0,403.0,4.49,4.5,2.75
0.33,Ideal,J,SI1,41465,1.16,61.1,56.0,403.0,4.49,4.55,2.76
0.26,Good,D,VS2,37441,3.96,65.2,56.0,403.0,3.99,4.02,2.61
0.26,Good,D,VS1,33482,2.41,58.4,63.0,403.0,4.19,4.24,2.46
0.32,Good,H,SI2,35158,4.89,63.1,56.0,403.0,4.34,4.37,2.75
0.7,PREMIUM,G,MAYBE,31322,1.45,61.8,58.0,2401.0,4.24,4.26,3.53
0.32,Very Good,H,SI2,46599,4.39,61.8,55.0,403.0,4.35,4.42,2.71
0.32,Good,H,SI2,46767,2.19,63.8,56.0,403.0,4.36,4.38,2.79
0.25,Very Good,E,VS2,44731,2.03,63.3,60.0,404.0,4.0,4.03,2.54
