Country,ISO 3166-1 alpha-3,Year,Total,Temperature,GDP Per Capita (USD),Coal,Oil,Gas,Cement,Flaring,Per Capita
Afghanistan,AFG,1949.0,0.014656,24,26405,0.014656,28.861419144880646,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Afghanistan,AFG,1950.0,0.084272,59,23397,0.021068,0.063204,29.461984960802187,3.2337239377996987,6.472439418216805,0.011266
Afghanistan,AFG,1951.0,0.0916,78,51902,0.025648,0.065952,29.461984960802187,3.2337239377996987,6.472439418216805,0.012098
Afghanistan,AFG,1952.0,0.0916,30,34260,0.031708,0.059892,29.461984960802187,3.2337239377996987,6.472439418216805,0.011946
Afghanistan,AFG,1953.0,0.106256,77,37389,0.037949,0.068307,29.461984960802187,3.2337239377996987,6.472439418216805,0.013685
Afghanistan,AFG,1954.0,0.106256,75,33309,0.042502,28.861419144880646,29.461984960802187,3.2337239377996987,6.472439418216805,0.013511
Afghanistan,AFG,1955.0,0.153888,64,36772,0.062288,0.0916,29.461984960802187,3.2337239377996987,6.472439418216805,0.019304
Afghanistan,AFG,1956.0,0.1832,39,33756,0.062288,0.120912,29.461984960802187,3.2337239377996987,6.472439418216805,0.022652
Afghanistan,AFG,1957.0,0.29312,54,37690,0.076944,0.216176,29.461984960802187,3.2337239377996987,6.472439418216805,0.035702
Afghanistan,AFG,1958.0,0.32976,61,41800,0.0916,0.23816,29.461984960802187,3.2337239377996987,6.472439418216805,0.039569
Afghanistan,AFG,1959.0,0.384571,42,34120,0.10992,0.25648,29.461984960802187,0.018171,6.472439418216805,0.045414
Afghanistan,AFG,1960.0,0.413885,34,57105,0.127115,0.268758,29.461984960802187,0.018012,6.472439418216805,0.048001
Afghanistan,AFG,1961.0,0.490798,29,20517,0.175872,0.29312,29.461984960802187,0.021806,6.472439418216805,0.055835
Afghanistan,AFG,1962.0,0.688594,37,55992,0.296784,0.362736,29.461984960802187,0.029074,6.472439418216805,0.076775
Afghanistan,AFG,1963.0,0.706736,65,39833,0.263808,0.392048,29.461984960802187,0.05088,6.472439418216805,0.077176
Afghanistan,AFG,1964.0,0.838551,74,50267,0.300448,0.47632,29.461984960802187,0.061783,6.472439418216805,0.089632
Afghanistan,AFG,1965.0,1.006917,67,29100,0.381056,0.542272,29.461984960802187,0.083589,6.472439418216805,0.105269
Afghanistan,AFG,1966.0,1.091159,55,57929,0.428688,0.575248,29.461984960802187,0.087223,6.472439418216805,0.111535
Afghanistan,AFG,1967.0,1.281865,78,43293,0.399376,0.556928,0.260144,0.065417,6.472439418216805,0.128058
Afghanistan,AFG,1968.0,1.223391,76,56270,0.332429,0.496817,0.347041,0.047105,6.472439418216805,0.119381
Afghanistan,AFG,1969.0,0.941232,54,23922,0.362736,0.527616,29.461984960802187,0.05088,6.472439418216805,0.089688
Afghanistan,AFG,1971.0,1.893554,49,57225,0.359072,0.747456,0.43968,3.2337239377996987,0.304112,0.171893
Afghanistan,AFG,1972.0,1.530347,33,40710,0.190528,0.626544,0.300448,0.046427,0.3664,0.135588
Afghanistan,AFG,1973.0,1.635454,56,40543,0.310745,0.701918,0.33268,0.067106,0.223005,0.141288
Afghanistan,AFG,1974.0,1.913152,40,55554,0.304695,0.770914,0.400141,0.070301,0.367102,0.161177
Afghanistan,AFG,1975.0,2.121383,61,20766,0.398689,0.874189,0.4755,0.069417,0.303589,0.174493
Afghanistan,AFG,1976.0,1.980859,50,32065,0.425024,0.883024,0.300448,0.079243,0.29312,0.159422
Afghanistan,AFG,1978.0,2.1533,73,45511,0.576226,0.935909,0.300959,0.057598,0.282608,0.166421
Afghanistan,AFG,1979.0,2.232754,56,57267,0.351744,1.165152,0.38472,0.063666,0.267472,0.171931
Afghanistan,AFG,1980.0,1.756302,26,32607,0.315762,0.925256,0.187254,0.023284,0.304747,0.140655
Afghanistan,AFG,1981.0,1.978463,70,25368,0.333424,1.014928,0.304112,0.032879,0.29312,0.177358
Afghanistan,AFG,1982.0,2.094581,22,28420,0.38472,0.992944,0.395712,0.039077,0.282128,0.207625
Afghanistan,AFG,1983.0,2.519954,71,43629,0.38472,1.220112,0.615552,0.00645,0.29312,0.253225
Afghanistan,AFG,1987.0,3.113826,77,28385,0.442824,2.012838,0.391588,0.043334,0.223242,0.301647
Afghanistan,AFG,1988.0,2.856896,24,23430,0.3664,1.821008,0.43968,0.042944,0.186864,0.275139
Afghanistan,AFG,1989.0,2.764855,38,55138,0.337088,1.864976,0.479984,0.042503,0.040304,0.259047
Afghanistan,AFG,1990.0,2.024326,79,50812,0.278464,1.271408,0.40304,0.045766,0.025648,0.189281
Afghanistan,AFG,1991.0,1.914301,63,56235,0.249627,1.204085,0.389125,0.045766,0.025697,0.178155
Afghanistan,AFG,1992.0,1.482054,29,44611,0.021984,1.029584,0.362736,0.045766,0.021984,0.122916
Afghanistan,AFG,1994.0,1.453829,46,24621,0.014693,1.032171,0.337935,0.046991,0.022039,0.094065
Afghanistan,AFG,1995.0,1.417327,75,39812,0.014656,1.011264,0.322432,0.046991,0.021984,0.086323
Afghanistan,AFG,1996.0,1.370104,72,42386,0.007328,0.985616,0.307776,0.0474,0.021984,0.080092
Afghanistan,AFG,1997.0,1.304152,52,45554,0.003664,0.948976,0.282128,0.0474,0.021984,0.073313
Afghanistan,AFG,1998.0,1.278504,27,31534,0.003664,0.941648,0.263808,0.0474,0.021984,0.069134
Afghanistan,AFG,1999.0,1.09164,48,20007,0.003664,0.776768,0.241824,0.0474,0.021984,0.056671
Afghanistan,AFG,2000.0,1.047128,34,57991,0.003664,0.78776,0.223504,0.010216,0.021984,0.053581
Afghanistan,AFG,2001.0,1.069098,40,23541,0.069616,0.762112,0.208848,0.006538,0.021984,0.0543
Afghanistan,AFG,2002.0,1.340995,72,31935,0.055109,0.727438,0.547416,0.011033,6.472439418216805,0.063856
Afghanistan,AFG,2003.0,1.559602,28,51479,0.091813,0.991575,0.466408,0.009807,6.472439418216805,0.068871
Afghanistan,AFG,2004.0,1.237247,64,23906,0.0916,0.908672,0.227168,0.009807,6.472439418216805,0.052529
Afghanistan,AFG,2005.0,1.889507,59,38544,0.106256,1.44728,0.32976,0.006211,6.472439418216805,0.077403
Afghanistan,AFG,2006.0,2.159318,75,37033,0.160944,1.656993,0.329204,0.012177,6.472439418216805,0.084869
Afghanistan,AFG,2007.0,2.799909,31,33851,0.747456,1.733072,0.307776,0.011605,6.472439418216805,0.108091
Albania,ALB,1933.0,0.007328,26,50333,64.61560383291817,0.007328,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1934.0,0.007328,26,26833,64.61560383291817,0.007328,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1935.0,0.01832,41,44464,64.61560383291817,0.01832,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1936.0,0.12821,76,25945,64.61560383291817,0.124576,29.461984960802187,0.003634,6.472439418216805,4.704460138509114
Albania,ALB,1937.0,0.296725,33,54435,64.61560383291817,0.289456,29.461984960802187,0.007269,6.472439418216805,4.704460138509114
Albania,ALB,1938.0,0.34808,65,39438,64.61560383291817,0.34808,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1940.0,0.692496,73,56002,64.61560383291817,0.692496,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1941.0,0.626485,69,54977,64.61560383291817,0.619216,29.461984960802187,0.007269,6.472439418216805,4.704460138509114
Albania,ALB,1942.0,0.743792,78,32436,64.61560383291817,0.743792,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1943.0,0.461664,67,25243,64.61560383291817,0.461664,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1944.0,0.153888,73,23158,64.61560383291817,0.153888,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1945.0,0.120912,22,31625,64.61560383291817,0.120912,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1946.0,0.483648,78,27180,0.021984,0.461664,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1948.0,0.703488,79,55579,0.007328,0.69616,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1949.0,1.014928,31,23004,64.61560383291817,1.014928,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Albania,ALB,1950.0,0.296725,64,41988,0.043432,0.246114,29.461984960802187,0.00718,6.472439418216805,0.236891
Albania,ALB,1951.0,0.402981,54,28625,0.07328,0.31144,0.010992,0.007269,6.472439418216805,0.31259
Albania,ALB,1952.0,0.373669,69,21871,0.076197,0.279389,0.010885,0.007198,6.472439418216805,0.2816
Albania,ALB,1953.0,0.413973,31,54120,0.113584,0.2748,0.01832,0.007269,6.472439418216805,0.30289
Albania,ALB,1955.0,0.663006,26,49433,0.21984,0.38472,0.03664,0.021806,6.472439418216805,0.456072
Albania,ALB,1956.0,0.838789,50,22539,0.249152,0.509296,0.047632,0.032709,6.472439418216805,0.55896
Albania,ALB,1957.0,1.505607,68,39751,0.2748,1.13584,0.058624,0.036343,6.472439418216805,0.971628
Albania,ALB,1959.0,1.443319,55,46380,0.337088,0.992944,0.076944,0.036343,6.472439418216805,0.872085
Albania,ALB,1960.0,2.022231,62,24786,0.326096,1.57552,0.084272,0.036343,6.472439418216805,1.181769
Albania,ALB,1961.0,2.278533,65,42671,0.321914,1.814427,0.084137,0.058055,6.472439418216805,1.287977
Albania,ALB,1962.0,2.461733,42,44304,0.362736,1.956576,0.084272,0.058149,6.472439418216805,1.34651
Albania,ALB,1963.0,2.080617,54,45268,0.282128,1.6488,0.084272,0.065417,6.472439418216805,1.101846
Albania,ALB,1964.0,2.014695,35,30779,0.333424,1.535216,0.084272,0.061783,6.472439418216805,1.0337
Albania,ALB,1965.0,2.172159,25,32194,0.395046,1.620419,0.08413,0.072563,6.472439418216805,1.080789
Albania,ALB,1966.0,2.549579,31,56801,0.477005,1.900683,0.10274,0.069151,6.472439418216805,1.231271
Albania,ALB,1967.0,2.677493,72,54984,0.523952,1.916272,0.12824,0.109029,6.472439418216805,1.255599
Albania,ALB,1968.0,3.069214,45,25119,0.589904,2.183744,0.14656,0.149006,6.472439418216805,1.397978
Albania,ALB,1969.0,3.241303,67,30742,0.688832,2.220384,0.168544,0.163543,6.472439418216805,1.434332
Albania,ALB,1970.0,3.739486,29,25857,0.891225,2.48296,0.187047,0.178255,6.472439418216805,1.608567
Albania,ALB,1971.0,4.348023,63,43199,0.98928,2.938528,0.241824,0.178391,6.472439418216805,1.8194
Albania,ALB,1972.0,5.637977,43,52809,1.08088,4.081696,0.278464,0.196937,6.472439418216805,2.296368
Albania,ALB,1973.0,5.286406,38,45299,1.168816,3.495456,0.3664,0.255734,6.472439418216805,2.097417
Albania,ALB,1974.0,4.341512,72,51799,1.210141,2.42395,0.42905,0.278371,6.472439418216805,1.679208
Albania,ALB,1991.0,4.290226,59,20585,1.480256,2.227712,0.2748,0.307458,6.472439418216805,1.299249
Albania,ALB,1992.0,2.517116,57,31915,0.799927,1.416384,0.198147,0.102659,6.472439418216805,0.761899
Albania,ALB,1993.0,2.337999,23,45620,0.599947,1.477918,0.157303,0.102831,6.472439418216805,0.708332
Albania,ALB,1994.0,1.923806,42,52496,0.168544,1.604832,0.098928,0.051502,6.472439418216805,0.584034
Albania,ALB,1995.0,2.089065,44,24435,0.161216,1.773376,0.051296,0.103177,6.472439418216805,0.636064
Albania,ALB,1996.0,2.017508,47,36622,0.113584,1.755056,0.043968,0.1049,6.472439418216805,0.616724
Albania,ALB,1997.0,1.543009,50,50778,0.043968,1.41064,0.03664,0.051761,6.472439418216805,0.474229
Albania,ALB,1998.0,1.754709,31,20100,0.054845,1.623405,0.032907,0.043552,6.472439418216805,0.542888
Albania,ALB,1999.0,2.986196,46,44270,0.110056,2.791742,0.029348,0.05505,6.472439418216805,0.930784
Albania,ALB,2000.0,3.024926,34,38109,0.069531,2.839801,0.021957,0.093637,6.472439418216805,0.95063
Albania,ALB,2001.0,3.220656,67,23487,0.080608,3.125392,0.014656,3.2337239377996987,6.472439418216805,1.021259
Albania,ALB,2002.0,3.748272,31,21247,0.084272,3.638352,0.025648,3.2337239377996987,6.472439418216805,1.200003
Albania,ALB,2003.0,4.303499,41,37742,0.084272,3.891168,0.025648,0.302411,6.472439418216805,1.391371
Albania,ALB,2004.0,4.176684,73,34991,0.084272,3.759264,0.032976,0.300172,6.472439418216805,1.363761
Albania,ALB,2005.0,4.261413,79,42670,0.073216,3.90974,0.021965,0.256492,6.472439418216805,1.405185
Albania,ALB,2006.0,3.910715,79,40342,0.07321,3.539714,0.021963,0.275828,6.472439418216805,1.302102
Albania,ALB,2007.0,3.94897,25,21199,0.07321,3.374978,0.032944,0.467837,6.472439418216805,1.326901
Albania,ALB,2008.0,4.397043,67,46801,0.102592,3.795904,0.014656,0.483891,6.472439418216805,1.48967
Albania,ALB,2009.0,4.406552,32,52564,0.388384,3.414848,0.01832,0.585,6.472439418216805,1.503665
Albania,ALB,2010.0,4.783865,71,52812,0.428688,3.491792,0.025648,0.837737,6.472439418216805,1.642022
Albania,ALB,2011.0,5.314676,78,44316,0.534944,3.77392,0.029312,0.9765,6.472439418216805,1.832234
Algeria,DZA,1916.0,0.003664,34,35644,64.61560383291817,0.003664,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Algeria,DZA,1917.0,0.007328,59,47221,0.003664,0.003664,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Algeria,DZA,1918.0,0.01832,33,25175,0.014656,0.003664,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Algeria,DZA,1919.0,0.01832,60,37149,0.015267,0.003053,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
Algeria,DZA,1921.0,0.025648,57,39678,0.025648,28.861419144880646,29.461984960802187,3.2337239377996987,6.472439418216805,4.704460138509114
